Name,Gender,Position,Height,Weight,Arm Length (inches),Hand Size (inches),Wingspan (inches),Max Velocity (mph),Arm Strength Velocity (mph),Arm Strength Distance (yards),Catch Radius (feet),3 Cone Drill (sec),20 Yard Shuttle (sec),40 Yard Dash (sec),10 Yard Split (sec),Bench Reps at 225,1 Rep Max Press (lbs),1 Rep Max Squat (lbs),Power Clean (lbs),Vertical Jump (inches),Broad Jump (feet),Positions Played,Field Goal Distance (yards),Field Goal Accuracy (%),Field Goal Consistency (avg misses),Punt Distance (yards),Punt Hang Time (seconds),Punt Accuracy (%),Punt Consistency (yards)
Christopher Davies,Male,Cornerback,5.33,206,31.1,8.0,71.4,21.4,57.9,69.9,7.6,7.17,3.9,5.07,1.32,31,324,631,457,30.8,12.1,3,35,0.81,0.6,35,4.52,0.41,45
Christopher Bowers,Male,Tight End,5.5,233,34.3,10.1,65.3,17.3,61.0,47.3,12.6,7.2,5.38,5.04,1.41,11,391,512,200,39.3,12.6,4,21,0.74,2.2,73,3.28,0.44,40
Matthew Holt,Male,Wide Receiver,6.08,335,26.5,7.8,66.3,18.2,53.2,40.7,14.9,7.41,4.55,4.24,1.89,13,286,670,206,29.7,9.1,2,25,0.75,0.9,31,4.9,0.33,32
John Miller,Male,Linebacker,5.92,239,26.6,7.9,84.0,23.8,62.4,64.9,9.9,5.55,4.18,4.97,1.74,10,387,603,373,36.1,12.1,4,44,0.63,2.4,65,3.16,0.41,47
Robert Torres,Male,Kicker,5.0,276,26.2,7.5,80.4,16.2,69.2,47.7,13.4,7.99,4.54,4.39,1.43,32,537,538,403,22.7,12.1,3,32,0.62,0.2,35,4.48,0.44,56
Keith Mills,Male,Quarterback,5.67,192,36.9,7.7,80.4,24.2,61.7,73.5,7.7,7.64,3.93,4.72,1.32,13,431,445,404,24.2,10.0,2,15,0.89,0.8,57,3.49,0.44,48
Daryl Ortega,Male,Punter,6.67,321,27.8,9.6,73.0,19.2,60.6,68.6,5.2,7.86,5.0,4.57,1.89,13,436,333,320,22.2,8.1,2,43,0.63,0.3,61,3.34,0.43,38
William Smith,Male,Defensive Lineman,5.25,326,37.5,9.0,69.9,18.9,57.8,53.8,11.5,7.25,5.48,5.11,1.91,20,454,394,496,26.7,11.7,4,61,0.75,2.8,54,4.81,0.34,30
Stephen Patterson,Male,Linebacker,5.0,152,25.5,9.2,82.7,19.0,62.0,52.8,5.3,5.64,4.47,5.28,1.88,6,427,553,282,26.8,8.4,1,10,0.8,0.7,28,4.85,0.34,50
Ryan Maldonado,Male,Wide Receiver,6.0,326,33.8,7.7,69.1,20.1,68.3,64.0,5.2,6.92,3.84,4.66,1.84,16,504,353,323,35.1,11.5,1,20,0.88,0.3,53,3.88,0.49,51
Jon Martinez,Male,Safety,5.08,217,29.8,8.1,81.0,23.1,55.3,47.4,13.9,7.11,4.33,5.04,1.64,23,435,702,436,33.7,9.5,4,23,0.76,2.0,45,5.1,0.48,38
Ryan Johnson,Male,Tight End,5.33,166,36.0,10.2,74.9,18.2,50.6,66.4,12.0,6.69,4.49,5.27,1.68,45,489,605,204,33.7,12.7,2,45,0.93,2.4,51,5.22,0.28,41
Henry Hicks,Male,Wide Receiver,5.08,214,37.9,10.4,78.3,22.9,55.9,61.4,10.8,7.43,5.16,4.53,1.99,5,260,425,287,37.4,8.0,1,30,0.73,2.9,41,4.12,0.39,60
Chad Moreno,Male,Punter,6.17,264,36.4,7.8,73.8,19.0,62.2,65.4,12.0,7.28,4.34,4.55,1.37,12,435,437,388,26.8,12.4,2,32,0.65,0.8,34,5.36,0.49,35
Steve Martinez,Male,Offensive Lineman,5.0,261,27.1,10.0,79.7,24.6,63.9,57.9,9.6,7.42,5.29,5.3,1.61,14,405,737,346,29.7,11.5,2,17,0.87,0.1,25,4.6,0.4,34
Kenneth Rios,Male,Safety,5.75,193,35.8,10.4,77.0,16.7,55.5,48.9,14.5,5.59,3.81,5.34,1.89,20,541,607,232,30.7,11.9,4,63,0.58,0.4,26,4.36,0.41,57
James Smith,Male,Kicker,6.08,190,28.7,10.2,65.0,22.3,59.1,74.8,12.3,6.85,5.28,4.3,1.83,13,402,417,302,29.2,8.7,3,18,0.94,2.0,56,3.09,0.4,34
Sean Williams,Male,Linebacker,6.42,165,36.4,8.8,75.0,24.7,53.9,65.1,12.5,7.49,5.04,4.72,1.35,37,252,464,433,25.9,12.0,1,29,0.93,1.0,45,4.68,0.38,59
Logan Skinner,Male,Defensive Lineman,6.25,281,39.5,9.1,70.6,17.4,59.6,53.3,13.0,5.52,3.88,4.23,1.82,15,253,332,494,36.8,9.3,1,46,0.92,2.6,69,3.02,0.37,55
Charles Norton,Male,Cornerback,5.5,232,26.5,9.7,72.8,22.9,65.4,56.9,11.3,7.66,4.57,4.84,1.9,21,378,317,451,33.2,6.4,4,21,0.69,1.0,32,5.29,0.42,48
Shawn Bray,Male,Wide Receiver,5.5,237,31.8,9.2,68.6,18.0,57.9,47.3,6.5,6.43,4.83,4.33,1.7,32,397,581,236,31.5,8.8,4,11,0.55,2.9,40,4.16,0.31,31
Christopher Bailey,Male,Wide Receiver,5.92,258,38.5,8.0,66.0,17.5,54.8,74.8,8.3,6.24,4.58,5.04,1.57,9,255,719,324,28.5,9.3,2,23,0.89,0.1,45,5.18,0.25,33
Charles Snyder,Male,Cornerback,6.17,152,33.1,9.0,84.8,18.1,59.6,46.7,10.1,6.32,3.86,5.05,1.89,9,303,486,483,44.0,8.8,4,46,0.91,0.1,48,3.96,0.34,43
Christopher Campos,Male,Punter,5.92,263,36.0,9.3,66.5,16.7,51.4,42.6,5.8,6.81,3.59,4.55,1.85,21,463,563,490,28.6,9.2,1,49,0.58,2.6,26,4.94,0.4,38
Greg Flynn,Male,Offensive Lineman,6.83,326,29.8,7.6,83.6,16.2,55.6,54.1,8.0,7.12,5.47,4.26,1.31,20,357,524,276,24.3,11.5,2,36,0.75,2.8,36,3.66,0.48,43
Richard Dennis,Male,Cornerback,5.75,180,31.1,9.2,80.6,16.7,62.6,48.9,5.8,7.51,4.6,4.81,1.95,19,361,498,330,25.7,6.3,3,33,0.91,2.2,39,4.81,0.28,39
James Anderson,Male,Safety,6.58,187,25.8,9.1,81.3,22.3,52.0,40.6,11.4,6.95,3.92,5.33,1.51,28,365,606,214,43.0,11.6,2,52,0.65,0.4,30,4.65,0.42,44
Eric Foster,Male,Quarterback,5.08,342,34.6,8.6,67.6,21.9,65.5,47.6,10.7,6.4,3.56,4.71,2.0,20,340,453,431,25.5,10.0,1,43,0.79,1.9,75,4.09,0.37,49
Kyle King,Male,Punter,6.25,267,31.2,10.2,80.7,17.4,60.0,74.0,13.1,6.73,3.81,5.18,1.52,25,482,542,377,25.9,11.2,1,65,0.87,2.9,27,4.86,0.37,45
Christopher Stanley,Male,Punter,5.92,182,28.4,8.5,69.8,21.6,69.9,46.3,7.0,6.6,5.36,5.27,1.93,11,471,544,482,37.4,11.3,3,36,0.71,1.5,42,5.45,0.46,31
Chad Jackson,Male,Linebacker,5.25,274,25.7,8.3,76.2,17.7,63.1,40.2,12.6,5.6,5.21,4.66,1.62,34,548,729,218,29.7,8.6,2,44,0.78,1.8,64,3.31,0.29,54
Ryan Juarez,Male,Kicker,5.83,311,29.1,8.9,71.7,22.2,65.2,64.4,8.2,6.14,5.43,5.09,1.56,21,548,378,424,31.7,7.5,1,30,0.67,2.2,55,4.48,0.36,45
Barry Bailey,Male,Kicker,5.42,330,34.2,8.7,72.4,21.7,59.0,59.4,11.5,7.48,5.33,4.31,1.6,33,533,395,261,32.5,8.5,3,12,0.56,0.3,29,4.25,0.26,54
Jason Marquez,Male,Cornerback,6.08,258,31.5,10.2,81.2,24.6,68.8,49.7,5.3,6.8,4.91,5.34,1.71,33,367,673,366,42.2,12.3,1,27,0.91,0.9,68,5.09,0.44,36
Jason Stone,Male,Wide Receiver,6.83,285,34.6,9.0,68.3,20.7,50.1,69.2,13.0,6.0,4.14,4.62,1.51,27,534,446,277,43.4,11.5,2,47,0.76,0.3,26,4.91,0.42,51
Jeremy Peterson,Male,Linebacker,5.42,181,32.3,9.4,72.8,24.1,62.0,72.6,7.5,7.38,3.52,4.23,1.89,16,394,350,367,29.1,8.8,1,47,0.56,1.3,66,3.46,0.45,38
Brian Mccann,Male,Punter,6.67,336,29.5,8.0,68.8,23.0,52.5,51.5,9.8,7.53,5.45,4.68,1.41,20,353,558,427,39.4,10.3,4,56,0.62,2.8,56,3.9,0.44,58
David Morales,Male,Linebacker,6.42,306,39.7,10.3,70.5,16.1,57.1,51.7,14.0,6.31,3.88,5.01,1.99,28,334,606,335,40.1,11.2,3,12,0.55,0.3,42,3.62,0.49,36
Karl Shaw,Male,Safety,5.67,269,36.5,9.9,73.4,17.5,65.0,62.1,6.9,5.73,4.82,5.18,1.52,6,440,436,218,31.6,6.9,1,47,0.6,2.3,72,5.2,0.39,48
Jason Murray,Male,Quarterback,6.58,298,38.6,10.4,79.3,17.6,68.0,67.2,10.7,6.18,4.67,5.45,1.66,37,510,518,365,30.8,11.7,1,35,0.88,2.0,67,3.79,0.41,55
Patrick Jones,Male,Running Back,5.5,216,38.8,7.8,69.1,21.9,68.4,45.1,13.2,7.42,4.41,4.55,1.45,30,270,563,273,43.0,6.5,3,10,0.9,2.4,47,4.56,0.4,49
Howard Maxwell,Male,Linebacker,5.67,237,39.6,8.2,84.8,22.0,62.6,69.7,14.9,7.98,4.25,5.47,1.39,27,350,615,374,20.3,12.9,4,56,0.91,2.5,69,5.05,0.48,53
Adam Bell,Male,Offensive Lineman,5.67,170,38.4,7.8,80.6,17.0,56.7,52.4,6.1,7.24,4.79,5.22,1.42,34,508,524,333,29.8,11.0,4,34,0.82,0.8,75,3.32,0.46,58
Andrew Evans,Male,Cornerback,6.5,302,29.9,8.9,82.2,25.0,68.4,42.1,7.5,5.93,4.17,4.37,1.75,26,483,420,469,21.2,11.2,1,55,0.92,0.9,32,5.22,0.34,51
James Carter,Male,Kicker,5.67,183,35.7,10.3,75.4,21.7,62.2,62.4,10.8,6.94,4.03,4.7,1.92,29,542,727,438,22.8,11.7,2,61,0.88,0.4,27,3.05,0.43,45
Sean Anderson,Male,Running Back,5.83,343,32.2,9.8,73.3,24.2,63.1,72.2,9.1,7.21,5.43,5.47,1.74,16,377,342,340,37.9,6.1,1,58,0.76,2.3,41,3.71,0.47,57
Anthony Campbell,Male,Safety,5.25,226,32.8,9.4,77.1,22.2,67.7,48.4,11.0,7.82,4.34,5.29,1.4,7,455,302,357,31.3,6.7,4,47,0.8,0.0,57,3.58,0.29,31
Darren Moore,Male,Offensive Lineman,6.67,345,29.5,9.4,78.1,17.2,53.6,60.6,9.4,7.64,4.68,4.39,1.57,42,309,382,366,25.2,11.6,3,19,0.69,2.8,43,4.02,0.37,50
Robert Thompson,Male,Defensive Lineman,5.92,286,36.5,7.6,67.1,24.0,50.1,59.1,7.6,7.11,4.66,5.02,1.61,5,478,546,234,25.1,11.2,3,39,0.91,0.5,61,3.51,0.27,60
Richard Krueger,Male,Cornerback,5.08,241,37.0,8.7,74.9,16.9,64.4,65.7,5.1,7.0,4.56,4.65,1.55,7,436,326,358,26.7,7.5,3,23,0.91,0.3,52,4.6,0.27,52
Steve Hall,Male,Running Back,5.83,172,39.4,7.9,77.9,23.5,68.9,46.9,12.2,6.74,4.0,4.69,1.89,25,437,533,324,40.8,11.4,4,49,0.89,0.6,31,4.87,0.36,40
Robert Cowan,Male,Offensive Lineman,6.42,271,30.7,10.1,66.2,23.2,64.5,63.7,12.9,6.86,5.18,4.48,1.5,26,389,412,351,21.1,8.2,4,46,0.71,0.7,38,4.38,0.29,54
Gordon Taylor,Male,Linebacker,5.5,160,30.9,9.9,73.6,16.6,65.1,63.9,11.1,7.1,4.53,4.7,1.69,5,365,303,256,31.0,11.0,4,64,0.85,1.0,30,3.5,0.45,35
Ethan Henry,Male,Kicker,6.0,292,34.4,9.8,67.7,20.2,64.8,59.9,5.4,6.15,4.46,4.24,1.75,35,441,729,296,29.5,10.6,1,42,0.88,2.9,42,4.2,0.32,55
Jesse Hernandez,Male,Kicker,5.58,202,37.1,9.4,72.7,23.2,59.9,48.3,8.4,5.85,3.67,4.6,1.73,45,279,467,479,44.2,10.5,1,56,0.92,1.0,27,5.29,0.36,41
Christopher Lewis,Male,Linebacker,5.17,174,38.7,7.6,76.6,23.0,63.9,57.8,8.1,5.97,5.33,4.96,1.54,33,444,495,224,29.8,9.1,4,20,0.92,1.3,35,3.27,0.49,32
Marcus Pena,Male,Cornerback,5.75,212,32.4,10.4,81.6,24.6,51.8,49.2,10.4,6.42,3.57,4.59,1.49,11,330,714,252,23.0,10.7,4,60,0.56,2.3,65,4.39,0.38,44
Gary Coleman,Male,Defensive Lineman,6.42,152,27.0,9.8,74.8,18.3,60.7,41.4,11.1,5.91,4.16,4.7,1.87,16,524,716,431,21.6,10.8,4,29,0.59,0.5,72,3.2,0.42,52
Patrick Nichols,Male,Running Back,5.08,303,27.1,9.7,66.3,20.7,55.4,73.8,7.1,7.89,4.67,4.32,1.52,30,450,405,384,20.1,12.8,4,25,0.59,0.2,45,5.11,0.4,59
Zachary Ford,Male,Cornerback,5.67,260,29.0,9.4,74.5,17.8,61.6,65.1,13.6,6.14,3.83,4.71,1.47,19,416,530,430,26.9,10.1,4,13,0.59,1.7,69,4.88,0.36,57
George Greer,Male,Defensive Lineman,6.67,325,39.2,7.9,76.2,18.4,64.0,55.6,14.0,5.91,4.14,4.64,1.36,17,448,559,308,37.6,9.9,3,59,0.74,1.1,27,3.1,0.4,48
Vincent Morrow,Male,Punter,6.67,334,30.6,9.3,74.2,20.5,57.5,62.3,10.2,5.94,4.47,4.32,1.3,23,512,734,220,20.1,8.6,3,56,0.78,2.8,43,4.65,0.37,39
Joshua Weber,Male,Tight End,6.17,312,32.9,8.9,69.8,23.9,60.6,41.8,6.0,7.35,3.64,5.14,1.76,27,498,733,206,27.2,8.8,4,49,0.68,1.5,59,4.97,0.49,35
Christopher Mcdonald,Male,Kicker,5.5,236,30.1,10.5,77.8,24.7,52.8,55.7,14.0,7.31,3.97,5.16,1.33,20,365,470,307,27.7,8.1,2,55,0.78,1.2,25,4.65,0.36,35
Shane Robertson,Male,Offensive Lineman,5.58,170,33.4,9.8,66.8,19.3,60.7,57.4,9.3,7.43,5.32,5.39,1.88,40,327,659,227,41.9,12.5,2,38,0.9,2.8,59,4.88,0.45,52
Nicholas King,Male,Offensive Lineman,6.42,264,31.9,9.9,67.2,16.9,59.1,42.4,6.4,6.64,5.43,5.45,1.92,29,548,653,321,37.8,12.2,3,30,0.71,1.6,68,3.8,0.4,47
Patrick Brooks,Male,Tight End,5.83,162,30.7,10.1,77.3,18.8,68.4,44.3,11.2,6.99,5.33,5.07,1.86,13,550,325,210,43.9,6.9,1,24,0.74,1.3,48,4.16,0.34,45
Cody Hernandez,Male,Linebacker,5.25,318,33.0,7.5,77.9,19.4,63.3,53.7,13.0,5.76,3.81,5.1,1.38,15,482,310,415,43.7,7.6,1,44,0.8,0.8,25,3.29,0.28,33
James Bowman,Male,Wide Receiver,5.08,322,26.8,10.3,78.5,24.9,58.0,62.9,10.9,6.64,4.19,4.67,1.41,19,328,349,487,40.0,6.2,2,57,0.79,2.1,49,3.72,0.48,47
Patrick Lamb,Male,Running Back,6.42,281,34.1,10.3,76.0,17.8,60.1,56.0,5.8,6.37,5.22,4.88,1.77,26,284,726,263,41.5,8.8,4,26,0.71,1.4,56,4.58,0.43,30
Russell Thompson,Male,Safety,5.58,153,36.9,10.2,68.1,16.4,63.2,49.1,5.9,7.72,4.91,5.3,1.69,17,322,575,395,32.3,11.7,3,58,0.61,2.5,35,4.42,0.49,44
Edwin Hudson,Male,Running Back,6.33,290,31.7,9.7,73.2,18.8,62.6,57.4,10.4,7.51,5.42,4.77,1.86,22,470,591,228,20.9,10.8,3,39,0.69,1.6,73,3.34,0.38,51
Jack Maynard,Male,Punter,5.25,295,34.9,9.8,83.3,21.4,59.8,45.9,13.0,6.24,4.92,5.03,1.53,24,541,733,246,25.7,12.0,1,56,0.79,0.1,58,3.54,0.25,49
Dennis Kelly,Male,Linebacker,5.92,349,30.7,8.3,80.0,22.6,66.8,64.1,7.2,7.54,5.46,5.38,1.58,8,265,607,494,36.4,11.8,4,43,0.9,0.4,34,5.1,0.46,45
Carlos Terry,Male,Punter,5.83,183,29.5,9.7,72.3,23.4,65.4,49.1,13.5,6.72,5.29,4.46,1.4,43,276,479,320,35.4,8.0,4,14,0.66,0.6,44,4.09,0.33,45
James Thomas,Male,Safety,5.5,157,35.9,9.2,75.0,22.8,67.1,58.5,10.7,6.35,3.85,5.1,1.82,30,348,308,270,23.8,8.7,2,33,0.94,0.5,67,3.34,0.4,57
Richard Rogers,Male,Linebacker,5.42,261,36.8,10.3,71.4,19.6,65.9,40.6,13.4,6.96,4.62,4.49,1.81,8,501,442,281,33.9,7.2,3,62,0.89,1.2,43,4.0,0.32,40
Adam Barnes,Male,Defensive Lineman,6.08,339,35.8,8.8,70.1,20.0,67.3,49.4,6.0,6.94,4.74,4.82,1.56,13,542,304,372,41.3,7.8,4,15,0.82,0.2,25,4.4,0.38,49
Daniel Giles,Male,Running Back,5.33,340,31.7,7.8,69.2,18.5,60.1,50.4,5.1,6.71,4.35,4.29,1.56,40,362,677,434,32.6,6.8,4,53,0.82,2.1,41,4.85,0.35,36
Matthew Newman,Male,Cornerback,6.83,190,31.0,9.2,82.7,16.4,61.0,63.9,9.2,5.52,4.92,4.35,1.75,26,505,353,220,35.7,8.4,1,40,0.91,2.6,36,5.32,0.37,57
James Burch,Male,Cornerback,5.0,296,38.4,8.8,70.4,22.0,60.7,72.7,12.8,6.95,5.06,4.25,1.79,39,413,554,311,23.4,8.5,2,32,0.61,1.2,67,4.18,0.48,50
Thomas Johnson,Male,Offensive Lineman,5.5,267,31.0,8.7,66.8,16.2,66.6,58.1,11.6,7.31,4.42,4.48,1.5,21,423,451,445,42.9,10.1,2,41,0.58,1.9,41,4.95,0.3,50
Aaron Chambers,Male,Safety,5.33,211,26.3,7.6,66.8,21.5,65.1,74.1,8.4,6.1,5.32,4.58,1.83,12,272,666,424,38.9,6.1,4,30,0.89,0.6,68,4.09,0.34,41
Robert Rodriguez,Male,Offensive Lineman,5.25,294,36.1,8.1,77.2,17.5,61.0,53.0,7.5,6.16,3.95,4.77,1.74,45,521,674,342,24.1,12.4,1,58,0.76,0.7,25,3.66,0.43,48
Richard Joseph,Male,Cornerback,5.92,259,29.3,9.3,77.5,17.5,62.4,52.3,10.1,6.5,3.58,4.98,1.62,18,459,616,458,43.4,9.6,4,42,0.7,2.8,64,4.05,0.3,47
Mark Thornton,Male,Tight End,6.25,196,34.8,7.5,82.5,24.3,65.5,43.2,7.5,7.19,5.48,4.43,1.3,29,403,684,301,32.8,10.1,3,49,0.57,1.8,36,4.26,0.48,50
Tony Roach,Male,Kicker,6.92,236,37.0,9.8,72.0,24.3,53.1,52.4,8.4,7.16,4.95,4.74,1.81,28,357,581,359,44.3,10.9,2,43,0.84,1.3,50,5.07,0.47,31
Robert Drake,Male,Offensive Lineman,6.17,244,39.4,8.5,70.0,24.6,66.8,67.6,7.4,5.88,4.55,4.45,1.46,16,408,538,438,27.0,7.4,1,22,0.79,1.3,28,5.18,0.29,47
Ryan Rodriguez,Male,Offensive Lineman,6.75,227,28.5,8.1,72.2,17.9,68.1,42.8,12.9,7.66,4.55,5.29,1.75,11,449,507,347,23.7,8.9,4,60,0.61,1.8,41,4.2,0.46,57
Michael Brown,Male,Tight End,6.08,184,27.3,9.0,75.5,22.1,55.1,59.9,12.2,5.97,3.52,4.33,1.57,11,446,514,219,32.5,6.9,4,28,0.63,0.6,75,4.78,0.26,40
Cory Guerra,Male,Defensive Lineman,5.08,310,39.1,7.9,69.9,19.4,61.5,59.1,5.4,6.14,5.44,5.17,1.77,36,279,600,339,20.2,9.8,1,52,0.64,1.5,53,3.13,0.44,53
Melvin George,Male,Tight End,5.83,241,26.9,9.3,78.7,18.5,64.8,70.6,11.0,5.79,5.09,4.49,1.38,14,529,714,267,31.0,6.6,4,64,0.94,0.5,43,4.44,0.38,56
Michael Odom,Male,Defensive Lineman,6.92,205,25.9,8.8,67.2,18.0,65.7,61.0,6.8,7.28,4.88,5.4,1.57,39,472,534,362,41.2,7.4,1,36,0.87,0.6,48,4.93,0.29,41
Thomas Ruiz,Male,Cornerback,6.83,264,28.9,8.1,84.5,24.9,60.7,48.5,12.8,7.05,5.17,4.45,1.55,16,404,683,319,25.3,8.1,1,10,0.92,1.8,42,4.77,0.4,48
Harry Clark,Male,Offensive Lineman,5.58,172,36.9,8.2,69.5,18.6,61.9,50.2,7.3,7.99,3.83,4.56,1.83,12,380,584,221,42.7,10.0,3,63,0.57,0.9,72,5.45,0.48,52
Michael Harper,Male,Offensive Lineman,6.92,207,29.9,9.6,77.9,19.6,52.1,66.5,5.8,7.83,3.94,4.21,1.71,17,450,406,454,32.1,9.4,4,37,0.85,1.4,71,5.46,0.45,35
Raymond Mercer,Male,Kicker,6.0,242,26.2,10.0,73.0,21.5,59.9,52.8,5.3,7.8,4.69,4.68,1.54,35,507,711,330,29.7,6.7,1,57,0.79,1.1,25,3.36,0.4,37
Roy Peters,Male,Defensive Lineman,5.58,254,31.1,10.2,84.5,17.2,58.2,45.6,13.0,6.17,3.73,4.65,1.75,33,500,474,457,37.5,11.3,2,42,0.88,2.4,57,3.43,0.31,30
Matthew Hutchinson,Male,Defensive Lineman,5.42,248,25.6,9.1,69.3,24.7,62.3,50.3,13.4,6.45,3.66,4.94,1.86,18,518,593,500,26.8,13.0,2,29,0.83,0.5,67,3.51,0.27,30
Nathaniel Martinez,Male,Cornerback,6.58,222,30.6,10.1,79.2,22.0,53.5,48.9,9.9,7.71,5.06,5.46,1.55,7,544,710,334,21.0,6.3,3,51,0.58,2.2,55,3.24,0.37,35
Kevin Sherman,Male,Safety,5.92,198,28.7,10.0,76.2,19.8,56.4,57.9,5.3,7.65,3.86,4.45,1.51,5,253,701,486,35.8,7.7,1,40,0.8,0.2,68,4.14,0.34,45
Lee Bond,Male,Safety,6.5,330,30.5,10.2,74.1,16.1,66.0,69.7,7.6,6.23,3.64,5.0,1.77,10,302,411,405,28.6,7.1,2,64,0.89,0.4,53,3.4,0.46,56
Adam Graham,Male,Kicker,6.33,192,39.4,10.1,83.2,23.2,51.3,66.3,9.8,7.85,4.38,5.19,1.65,16,385,454,478,26.3,10.3,1,29,0.86,0.6,49,4.94,0.4,39
Carl Rios,Male,Running Back,6.0,343,37.2,8.9,77.6,16.7,62.3,55.0,5.5,6.97,5.26,4.65,1.54,29,435,313,486,42.4,9.3,3,50,0.66,1.0,47,3.51,0.32,53
Anthony Perez,Male,Offensive Lineman,6.5,238,27.0,10.5,73.4,19.6,69.3,63.9,7.3,7.74,4.04,5.35,1.43,28,400,584,413,32.3,8.5,1,42,0.9,2.5,63,3.12,0.46,32
Matthew Arroyo,Male,Defensive Lineman,5.92,336,30.8,8.4,70.7,22.0,66.9,50.3,12.1,6.45,4.77,5.23,1.76,21,531,357,306,28.3,9.3,4,22,0.91,0.4,32,4.41,0.36,33
Daniel Wheeler,Male,Kicker,5.0,188,35.8,10.4,81.0,17.3,51.0,73.7,9.3,7.1,4.62,4.7,1.39,40,311,430,393,27.6,11.8,2,46,0.58,0.7,41,5.2,0.48,32
Billy Jones,Male,Punter,5.58,252,35.1,9.3,83.8,20.5,55.8,51.9,13.5,5.6,5.47,5.44,1.86,15,255,428,307,40.3,9.4,1,24,0.84,1.8,46,4.3,0.31,30
John Price,Male,Linebacker,6.83,317,33.0,9.6,69.0,19.5,53.3,58.5,9.1,7.7,4.31,4.55,1.72,28,335,672,211,28.1,10.5,4,31,0.78,1.2,40,3.71,0.49,46
Travis Peterson,Male,Tight End,6.92,267,35.8,8.3,67.1,23.3,63.7,46.4,10.5,7.44,3.67,5.49,1.82,40,264,729,340,35.8,7.0,1,45,0.72,2.3,42,4.73,0.48,38
Ricky Jones,Male,Linebacker,6.42,253,31.1,9.9,66.2,22.8,67.7,42.1,13.0,6.26,4.87,5.11,1.7,33,342,563,461,44.5,7.9,1,22,0.8,0.4,64,3.15,0.34,44
Jeremy Wilson,Male,Defensive Lineman,5.17,326,38.2,8.0,79.1,21.6,56.0,51.2,11.2,5.66,5.02,4.52,1.59,19,324,701,223,31.9,9.0,1,11,0.9,0.7,31,4.2,0.3,49
Brad Owens,Male,Linebacker,5.42,191,28.0,8.3,76.8,16.1,62.9,50.9,6.3,5.56,5.34,4.66,1.72,7,521,495,319,28.2,7.5,4,18,0.92,2.2,69,4.38,0.29,34
Jeffrey Wilson,Male,Tight End,5.0,243,29.9,7.9,78.0,19.3,56.9,53.5,9.3,5.92,3.89,4.71,1.44,18,297,361,356,35.1,8.4,3,18,0.94,1.3,57,4.99,0.38,47
Stuart Brown,Male,Cornerback,5.42,335,31.6,10.1,72.2,20.8,69.8,48.4,12.9,5.81,4.74,4.39,1.86,11,370,505,386,40.9,12.6,4,15,0.72,0.9,50,3.17,0.49,35
Michael Webb,Male,Kicker,6.17,244,29.9,9.0,80.4,19.5,56.2,65.1,11.7,5.76,5.04,4.47,1.48,34,488,598,234,21.4,8.9,4,51,0.91,2.7,74,4.06,0.48,53
Robert Hartman,Male,Quarterback,5.92,235,39.2,10.0,83.5,23.6,54.6,66.3,7.3,6.41,5.4,5.34,2.0,8,275,486,226,34.8,7.5,4,10,0.74,0.0,46,4.98,0.33,43
Joseph Henderson,Male,Defensive Lineman,6.33,339,27.6,8.1,74.7,18.1,53.8,49.6,8.2,7.05,4.25,4.89,1.8,43,354,408,462,44.2,7.9,2,64,0.81,0.9,56,4.15,0.5,41
Robert Armstrong,Male,Quarterback,5.33,216,32.5,7.5,75.6,21.1,63.5,51.0,9.7,7.42,4.43,4.21,1.93,6,458,362,433,30.8,10.6,3,19,0.58,3.0,56,3.68,0.48,49
Paul Briggs,Male,Cornerback,5.83,202,25.6,9.1,69.5,25.0,60.1,58.3,7.8,7.22,4.11,5.16,1.33,16,331,420,259,29.1,6.8,2,42,0.77,1.0,52,3.08,0.27,34
Christian Cardenas,Male,Safety,5.33,174,30.0,8.0,71.4,23.5,59.9,66.7,5.3,7.68,3.5,4.52,1.62,27,395,557,441,44.5,12.2,3,14,0.71,1.3,66,4.45,0.38,43
Jacob Wise,Male,Kicker,5.83,335,27.0,10.1,79.3,24.1,55.7,65.1,8.7,5.67,4.76,4.55,1.69,40,504,593,442,25.8,12.7,1,32,0.87,1.8,46,5.37,0.33,32
Charles Bell,Male,Quarterback,6.08,293,27.1,8.9,82.0,20.8,56.8,56.7,8.3,7.25,3.62,4.49,1.34,27,389,459,319,39.1,7.9,4,37,0.94,1.1,69,4.18,0.31,54
Jeff Vasquez,Male,Wide Receiver,5.25,300,36.1,9.3,76.9,19.6,63.4,70.1,11.5,5.96,4.64,5.23,1.63,39,462,435,317,29.9,7.9,1,50,0.75,1.7,62,3.03,0.38,37
Joshua Wright,Male,Cornerback,5.0,263,34.7,8.2,65.4,17.8,56.1,52.5,12.9,5.53,5.38,5.38,1.69,41,527,644,298,33.3,11.9,2,56,0.69,0.1,27,3.78,0.27,51
John Meyer,Male,Linebacker,6.33,342,27.2,8.7,75.1,24.9,64.6,64.6,10.0,5.86,4.84,5.04,1.55,31,448,365,324,33.9,11.5,3,49,0.85,1.7,74,4.92,0.4,58
Harry Greer,Male,Punter,6.0,182,34.0,8.1,68.6,21.5,68.9,50.1,10.4,5.53,5.04,4.41,1.66,42,449,509,258,37.4,8.9,2,16,0.85,2.8,47,3.62,0.27,44
