ID,Name,Gender,Height (ft),Weight (lbs),Arm Length (inches),Hand Size (inches),Max Velocity (mph),Vertical Jump (inches),Broad Jump (feet),Date,Sport,Activity.Name,Position.Name,Total.Duration,Total.Player.Load,Total.Distance..m.,Training.HSR,Heart.Rate.Exertion,Heart.Rate.Exertion.Per.Minute,Velocity.B3..Total...Efforts..Gen.2...Set.2.,Velocity.Band.2.Total.Distance..Set.2...m.,Velocity.Band.3.Total.Distance..Set.2...m.,Velocity.Band.4.Total.Distance..Set.2...m.,Acceleration.B2.3.Total.Efforts..Gen.2.,Deceleration.B2.3.Total.Efforts..Gen.2.,IMA.H.M.Accel,IMA.H.M.Decel,IMA.CoD.Left.High,IMA.CoD.Left.Medium,IMA.CoD.Right.High,IMA.CoD.Right.Medium,Maximum.Velocity..mph.,Week_of_Year
700,Diana Lopez,Female,5.46,127,26.7,8.7,21.9,20,10.1,8/17/2021,Soccer,Training,Forward,50.77,140.24,5830.36,8.47,12230.37,86.78,1.23,219.58,643.11,251.41,29.95,12.36,13.91,70.09,9.63,34.4,25.71,29.28,5.39,33
701,Hank Mitchell,Male,5.57,125,38.9,7.5,19.0,34,7.8,8/18/2021,Soccer,Game,Forward,89.69,963.85,1527.67,1.24,7093.82,71.78,6.28,20.1,149.51,552.24,56.71,65.84,55.25,89.16,2.25,13.69,23.52,21.43,6.85,33
702,Tina Mitchell,Female,4.6,212,34.5,9.8,15.1,37,6.5,8/19/2021,Soccer,Training,Forward,74.02,603.57,10595.24,1.39,11370.84,98.31,4.29,449.83,100.51,712.71,26.37,69.63,6.87,50.7,29.9,10.55,31.47,13.45,13.08,33
703,Karen Owens,Female,5.17,165,25.8,9.5,18.2,48,7.5,8/22/2021,Soccer,Training,Forward,149.33,471.31,6985.48,1.4,2292.69,85.19,3.1,981.19,787.83,153.12,46.07,29.5,7.03,20.99,63.77,8.84,13.28,16.37,8.8,34
704,Rita Davis,Female,4.77,230,34.7,8.8,10.6,44,7.0,8/23/2021,Soccer,Training,Forward,10.93,788.13,2218.71,8.74,9478.93,119.92,5.24,516.97,680.62,57.57,30.49,25.13,11.58,26.33,0.31,9.8,39.56,36.97,1.73,34
705,Nina Harris,Female,4.63,143,39.6,8.9,21.2,26,6.2,8/24/2021,Soccer,Training,Forward,52.82,380.44,10776.32,9.12,12695.77,78.99,2.63,890.87,536.73,834.14,5.37,74.54,53.87,37.98,9.67,45.1,36.36,13.89,7.73,34
706,Charlie Jackson,Male,6.48,196,26.0,7.0,16.7,35,10.2,8/24/2021,Soccer,Training,Forward,107.79,993.23,1050.25,5.03,872.22,55.02,1.39,456.27,18.82,484.15,31.1,55.68,58.96,80.13,49.72,51.18,22.63,26.05,12.06,34
707,Charlie Evans,Male,5.14,141,33.3,8.6,10.3,35,6.8,8/25/2021,Soccer,Training,Forward,84.67,305.75,5478.56,9.87,7695.15,127.81,9.73,50.85,917.27,742.22,11.38,21.65,48.76,21.76,32.38,17.59,40.63,20.6,3.19,34
708,Nina Roberts,Female,6.12,105,36.2,6.8,10.9,34,8.2,8/25/2021,Soccer,Training,Forward,158.91,273.83,10341.59,0.74,5060.66,53.58,6.67,986.95,470.85,588.98,1.78,2.55,30.6,88.87,29.89,10.31,40.9,8.45,5.26,34
709,Grace Nelson,Female,5.01,122,37.2,6.6,15.8,25,7.7,8/27/2021,Soccer,Game,Forward,176.03,246.2,3651.05,4.82,17621.5,102.05,3.67,204.06,175.49,604.87,62.13,32.55,53.5,3.03,19.31,37.53,3.43,21.16,16.09,35
710,Oscar Foster,Male,5.86,188,31.2,10.0,18.8,28,11.9,8/28/2021,Soccer,Game,Forward,127.21,690.4,682.9,2.78,512.37,83.07,0.6,835.08,791.43,598.01,29.89,16.14,56.42,83.95,20.14,55.06,5.33,19.88,3.79,35
711,Hank Smith,Male,6.02,222,28.1,8.5,17.0,26,7.7,8/30/2021,Soccer,Training,Forward,24.93,870.52,3269.22,7.73,6181.64,149.65,7.56,28.38,527.51,89.7,60.07,36.81,38.34,25.75,17.69,24.33,27.41,2.88,3.41,35
712,Alice Smith,Female,5.69,246,25.6,7.7,19.3,33,5.6,8/31/2021,Soccer,Training,Forward,165.81,858.54,2722.85,3.57,16728.2,141.06,3.65,722.48,59.83,521.51,46.8,71.21,15.25,14.39,28.37,4.43,15.89,17.28,5.86,35
713,Eve Roberts,Female,5.44,150,33.7,7.2,17.2,30,5.6,9/1/2021,Soccer,Training,Forward,114.16,1121.3,3873.28,3.76,4076.79,72.61,1.29,918.8,644.54,721.44,4.4,21.36,0.63,42.72,60.8,12.03,12.36,15.71,3.3,35
714,Quincy Foster,Male,5.32,110,31.8,8.4,19.9,40,9.1,9/2/2021,Soccer,Training,Forward,92.24,1132.87,2561.57,9.36,6450.64,168.12,4.97,302.82,774.9,758.11,14.84,14.54,4.53,39.42,39.12,25.98,8.66,35.43,18.04,35
715,Frank Harris,Male,5.2,111,39.2,6.2,13.3,35,9.2,9/3/2021,Soccer,Game,Forward,120.09,97.59,6113.67,1.14,17240.02,120.84,1.57,597.38,688.35,719.77,53.33,28.05,4.22,12.41,60.24,57.02,33.47,0.89,17.0,36
716,Jack Garcia,Male,6.36,173,25.9,6.4,11.7,44,7.9,9/4/2021,Soccer,Training,Forward,12.28,1072.22,2823.12,0.23,14506.4,52.44,7.77,939.15,658.91,352.92,25.92,71.24,17.51,62.9,23.49,0.98,3.98,9.05,16.59,36
717,Leo Lopez,Male,6.16,107,35.3,6.1,18.9,25,8.0,9/5/2021,Soccer,Game,Forward,63.55,989.1,2066.61,3.92,17204.36,141.02,3.44,728.33,364.93,826.12,14.04,48.59,49.96,72.5,1.92,52.24,10.33,16.56,14.16,36
718,Hank Davis,Male,6.43,140,25.4,8.0,17.3,41,5.4,9/7/2021,Soccer,Training,Forward,59.74,56.28,2952.45,3.64,10596.72,106.96,8.49,794.52,55.64,592.86,9.06,44.42,35.73,88.82,15.11,36.17,12.11,24.36,0.57,36
719,Paul Lopez,Male,4.75,184,27.6,8.4,10.4,46,8.6,9/8/2021,Soccer,Training,Forward,48.62,539.4,10091.41,8.59,16593.5,143.96,6.4,479.33,974.93,605.06,62.75,37.72,19.19,23.8,5.63,16.95,25.93,7.9,5.78,36
720,Grace Quinn,Female,5.96,171,31.8,6.2,15.7,35,8.5,9/10/2021,Soccer,Training,Forward,56.36,597.27,9969.43,1.67,4339.15,75.64,7.13,47.46,38.71,827.53,54.21,24.31,2.61,8.82,5.3,37.92,19.19,15.71,9.8,37
721,Grace Jackson,Female,6.38,154,31.8,8.9,11.6,39,6.0,9/11/2021,Soccer,Training,Forward,20.33,454.03,7833.56,1.45,11238.74,161.78,8.06,485.46,681.36,110.74,29.49,52.9,53.76,73.88,6.32,27.96,8.4,29.08,14.12,37
722,Alice Harris,Female,4.86,236,35.3,6.9,18.0,48,5.7,9/12/2021,Soccer,Game,Forward,149.85,672.12,7179.84,6.06,4423.41,88.42,9.04,247.87,119.14,720.64,14.71,38.02,15.42,63.22,41.87,47.29,6.32,25.23,13.48,37
723,Karen Jackson,Female,4.63,146,38.7,8.7,15.9,35,5.9,9/15/2021,Soccer,Training,Forward,21.29,644.71,8863.92,8.78,13702.67,123.09,5.03,115.76,129.35,740.02,46.77,63.77,29.56,78.59,30.62,43.28,15.72,11.34,16.26,37
724,Charlie Owens,Male,5.98,242,34.6,9.9,19.2,31,5.7,9/16/2021,Soccer,Training,Forward,132.6,908.51,1407.75,5.07,8139.66,163.91,6.66,947.32,659.96,585.14,55.86,10.49,15.38,72.11,46.53,10.33,13.83,35.98,8.83,37
725,Quincy Jackson,Male,5.65,203,39.3,8.8,22.1,36,9.3,9/17/2021,Soccer,Game,Forward,75.3,542.37,9884.6,7.46,14628.39,82.84,6.81,5.24,7.65,585.34,61.08,34.53,7.08,86.21,38.66,2.91,1.92,32.63,0.16,38
726,Tina Khan,Female,6.18,141,38.2,9.5,14.5,24,6.4,9/18/2021,Soccer,Training,Forward,170.2,309.75,6163.82,8.54,11209.56,182.53,8.84,30.91,540.28,539.96,20.57,23.79,40.15,79.31,23.79,0.44,29.13,31.81,1.8,38
727,Charlie Roberts,Male,4.78,159,33.8,9.8,24.4,46,6.8,9/19/2021,Soccer,Game,Forward,160.13,568.11,1487.92,5.25,15438.03,154.71,4.61,798.3,539.83,327.65,58.55,53.23,28.55,84.01,44.89,26.02,15.1,19.25,7.56,38
728,Nina Taylor,Female,6.09,111,37.5,7.9,18.0,44,6.2,9/21/2021,Soccer,Training,Forward,73.5,959.69,1118.35,8.39,13621.73,101.1,7.12,329.7,488.35,992.12,16.09,64.39,22.03,88.99,59.38,23.35,10.19,38.41,18.35,38
729,Eve Lopez,Female,4.9,229,34.6,8.8,19.3,32,11.7,9/22/2021,Soccer,Training,Forward,96.64,1124.37,1880.37,5.79,4843.84,133.8,6.34,649.81,786.85,419.46,31.26,56.2,12.65,85.53,29.12,47.45,40.23,0.21,4.93,38
730,Rita Brown,Female,4.83,106,26.2,9.4,20.2,27,11.0,9/23/2021,Soccer,Training,Forward,143.16,311.95,6712.63,7.62,5163.59,121.04,1.34,553.62,700.85,396.55,64.44,11.17,55.42,42.93,42.0,4.67,27.51,4.5,5.39,38
731,Hank Anderson,Male,4.83,179,36.1,7.4,20.0,43,6.6,9/24/2021,Soccer,Game,Forward,167.62,723.47,6779.12,8.34,4185.08,132.18,0.75,42.22,756.83,187.41,58.97,18.2,35.33,77.37,46.11,30.83,25.63,28.68,8.93,39
732,Tina Smith,Female,6.13,230,26.4,7.0,17.7,24,7.3,9/25/2021,Soccer,Training,Forward,70.29,545.04,2198.69,9.64,9757.1,56.78,7.56,128.49,303.89,405.13,37.62,53.3,2.59,18.15,59.99,24.8,17.28,2.49,7.27,39
733,Jack Owens,Male,5.83,208,33.9,9.8,16.4,31,6.5,9/26/2021,Soccer,Training,Forward,54.5,968.26,3403.35,2.34,15291.28,100.36,5.22,551.25,510.42,568.32,17.6,69.24,5.78,59.27,5.64,1.97,13.12,18.68,13.78,39
734,Rita Mitchell,Female,5.55,102,35.5,8.9,10.8,28,8.4,9/28/2021,Soccer,Training,Forward,56.37,836.44,2583.16,1.4,893.72,185.09,0.18,896.3,90.87,594.78,61.57,25.01,52.15,29.65,14.99,52.92,34.93,24.11,2.41,39
735,Quincy Foster,Male,5.22,126,26.0,6.9,10.3,22,5.1,9/29/2021,Soccer,Training,Forward,130.16,254.45,7497.59,5.91,2569.22,99.43,4.18,547.08,353.12,799.44,41.69,33.53,41.73,27.06,1.32,57.96,40.78,17.68,16.92,39
736,Ivy Clark,Female,6.25,213,28.5,7.8,15.4,22,9.7,9/30/2021,Soccer,Training,Forward,120.03,341.66,153.39,3.11,2315.98,116.76,8.82,293.04,790.29,834.47,61.78,39.03,34.35,35.23,13.79,47.46,0.74,21.73,1.1,39
737,Charlie Khan,Male,5.28,206,38.7,9.2,15.0,20,8.7,10/1/2021,Soccer,Training,Forward,101.42,233.96,5091.17,0.69,11682.0,64.82,4.27,929.83,373.41,94.65,19.67,31.04,28.79,66.74,12.89,32.17,33.85,23.92,13.31,40
738,Eve Davis,Female,6.13,139,34.2,8.2,15.8,44,11.3,10/3/2021,Soccer,Training,Forward,42.28,626.54,2032.25,8.33,4489.13,153.49,4.72,344.28,427.68,496.63,48.72,13.24,21.8,6.77,8.95,54.71,30.69,36.35,16.71,40
739,Paul Jackson,Male,5.38,228,28.7,8.6,12.1,41,6.2,10/5/2021,Soccer,Training,Forward,117.07,409.32,8193.1,2.75,4473.87,131.06,2.67,940.86,787.59,252.09,44.01,73.63,49.51,53.92,6.48,13.6,19.68,23.37,9.02,40
740,Tina Owens,Female,5.25,107,35.4,9.0,21.1,37,10.6,10/6/2021,Soccer,Training,Forward,153.83,1070.75,611.26,2.8,13316.55,142.28,5.37,54.66,721.48,516.02,11.1,61.05,34.88,5.12,46.07,42.25,10.73,6.21,10.02,40
741,Charlie Clark,Male,5.43,200,34.0,8.5,22.9,43,10.5,10/7/2021,Soccer,Training,Forward,106.83,1093.56,582.44,3.05,17317.72,72.01,9.58,651.7,366.8,532.32,6.29,16.47,59.2,78.89,43.6,3.37,6.78,36.92,8.17,40
742,Charlie Davis,Male,5.1,223,32.5,8.2,24.1,31,5.9,10/8/2021,Soccer,Game,Forward,116.61,395.83,2071.6,1.06,16861.36,65.35,1.82,507.81,36.69,221.1,15.97,65.55,52.21,23.33,39.37,34.14,40.0,21.66,5.05,41
743,Mona Foster,Female,6.0,206,39.6,9.0,17.4,28,7.8,10/9/2021,Soccer,Training,Forward,140.88,780.93,8182.41,1.25,14836.39,110.53,2.01,39.84,943.61,254.63,48.59,64.3,23.19,20.71,1.78,49.79,3.25,21.26,16.71,41
744,Diana Owens,Female,5.51,200,35.3,8.9,20.5,28,6.2,10/10/2021,Soccer,Game,Forward,83.34,180.6,6001.64,6.37,16609.89,127.17,9.27,278.86,817.44,918.12,60.36,42.19,29.22,26.6,48.79,60.85,6.83,27.67,4.33,41
745,Oscar Garcia,Male,4.96,103,30.6,8.5,22.8,37,6.8,10/12/2021,Soccer,Training,Forward,92.48,817.77,350.2,0.92,12536.95,174.2,3.9,220.29,298.04,800.75,59.77,27.81,47.35,16.0,23.73,37.31,30.19,16.34,5.51,41
746,Steve Brown,Male,6.3,209,37.0,7.4,16.3,37,6.8,10/13/2021,Soccer,Individual,Forward,47.53,878.09,7050.12,7.92,17609.42,64.02,9.5,328.91,671.41,342.47,8.73,48.82,42.63,13.75,10.34,39.42,21.48,13.32,9.29,41
747,Mona Taylor,Female,5.27,118,38.3,7.6,14.6,48,8.9,10/13/2021,Soccer,Training,Forward,149.71,406.82,5312.15,9.42,10419.73,172.61,2.01,221.96,974.1,46.98,60.26,4.87,41.6,51.13,11.28,32.31,14.67,28.68,1.91,41
748,Leo Quinn,Male,5.59,131,26.9,9.9,24.1,26,7.9,10/14/2021,Soccer,Training,Forward,34.6,281.67,2557.27,3.03,14950.28,123.76,4.52,413.69,638.24,623.24,4.93,8.21,0.12,56.36,34.43,45.37,33.44,2.21,0.03,41
749,Tina Mitchell,Female,6.31,236,28.0,6.4,17.7,46,11.6,10/15/2021,Soccer,Game,Forward,124.96,534.6,7342.55,5.63,4093.13,137.78,3.92,637.48,642.8,145.96,29.92,49.11,1.32,49.39,35.43,54.08,40.55,32.07,0.76,42
750,Mona Foster,Female,5.75,111,28.2,7.1,17.5,23,5.9,10/16/2021,Soccer,Training,Forward,9.12,474.86,645.06,0.04,17620.79,134.73,9.67,870.28,188.16,884.81,3.36,71.71,48.92,8.17,1.34,51.5,40.0,11.16,15.11,42
751,Mona Brown,Female,4.73,238,35.4,8.0,12.7,32,11.8,10/17/2021,Soccer,Game,Forward,92.35,671.09,2300.32,5.97,5931.65,164.21,6.82,180.01,528.61,454.87,66.39,54.81,4.14,56.52,34.12,54.63,20.66,5.63,8.21,42
752,Charlie Lopez,Male,6.38,145,34.0,9.3,11.6,36,6.6,10/19/2021,Soccer,Training,Forward,130.11,800.78,8265.62,1.36,8745.42,73.66,6.45,251.62,71.63,49.63,37.76,41.83,54.99,13.36,48.95,22.62,40.67,26.67,11.46,42
753,Tina Irwin,Female,5.76,218,34.3,6.7,22.6,43,10.4,10/20/2021,Soccer,Training,Forward,85.37,112.24,10062.66,8.04,9756.75,117.43,0.13,379.18,80.9,627.12,19.16,15.17,17.41,83.79,10.14,58.5,17.16,1.08,4.71,42
754,Eve Irwin,Female,5.17,115,39.1,7.1,19.2,21,7.4,10/21/2021,Soccer,Individual,Forward,70.05,782.87,6430.74,1.05,13165.37,62.75,5.61,261.58,612.78,912.2,58.51,64.96,2.62,26.53,9.07,19.04,14.42,33.78,17.95,42
755,Mona Lopez,Female,4.78,228,36.6,6.3,14.9,33,6.0,10/21/2021,Soccer,Training,Forward,25.15,935.68,6321.86,4.22,10597.66,99.92,4.27,249.93,867.68,359.89,42.49,0.48,22.11,34.4,38.45,40.07,11.91,22.72,2.04,42
756,Leo Smith,Male,6.09,162,26.9,8.8,12.9,22,11.0,10/22/2021,Soccer,Game,Forward,54.13,1003.59,9069.37,2.62,11691.12,121.68,9.94,531.65,943.11,711.61,11.96,74.2,33.26,86.04,53.16,5.72,38.56,6.87,15.53,43
757,Hank Brown,Male,5.74,208,30.2,7.0,18.3,24,7.2,10/23/2021,Soccer,Training,Forward,51.91,141.07,579.27,7.9,11280.61,68.95,3.84,120.72,452.94,967.3,6.22,72.45,39.52,29.37,26.61,10.31,4.52,2.32,3.21,43
758,Frank Foster,Male,5.57,218,31.5,7.6,18.8,33,9.6,10/24/2021,Soccer,Game,Forward,150.83,316.53,4908.73,3.48,12454.37,123.8,1.05,631.36,266.87,400.22,55.15,8.57,3.31,46.8,27.82,31.91,19.48,29.46,11.86,43
759,Paul Khan,Male,6.29,120,30.9,7.8,13.1,22,9.0,10/26/2021,Soccer,Training,Forward,75.35,955.72,10144.23,3.94,583.7,171.75,1.26,457.33,236.26,458.23,43.01,48.39,32.21,29.77,53.87,21.12,20.88,32.01,11.97,43
760,Karen Irwin,Female,6.08,112,35.0,9.6,22.8,42,8.3,10/27/2021,Soccer,Training,Forward,176.37,454.02,5558.97,8.4,1808.55,124.13,5.28,33.76,19.2,738.69,10.75,9.98,48.33,76.14,18.28,47.24,2.17,24.48,8.8,43
761,Leo Smith,Male,4.8,103,38.4,7.6,11.3,26,8.5,10/28/2021,Soccer,Training,Forward,148.3,670.33,6705.8,7.57,11458.02,169.97,4.35,45.91,134.69,342.81,40.15,63.9,28.66,76.22,44.68,50.08,1.27,39.7,0.31,43
762,Paul Nelson,Male,5.12,201,29.6,6.6,15.3,49,10.1,10/29/2021,Soccer,Game,Forward,90.97,323.93,4235.74,0.77,2387.32,181.9,0.29,85.56,758.5,282.17,51.08,60.51,21.71,14.26,23.01,19.86,22.26,32.22,8.76,44
763,Oscar Lopez,Male,5.0,158,33.3,8.1,20.2,37,5.6,8/25/2021,Soccer,Training,Defender,141.56,66.01,4218.03,0.71,12876.26,82.57,6.06,219.15,496.85,906.42,4.72,63.81,44.65,88.52,22.59,40.23,15.52,22.55,13.54,34
764,Alice Anderson,Female,5.99,227,36.8,9.9,14.1,32,9.7,8/25/2021,Soccer,Training,Defender,106.05,519.64,10661.29,2.71,11657.89,87.45,2.23,517.57,951.04,496.24,18.79,63.02,36.4,52.3,61.04,42.19,8.66,18.73,9.97,34
765,Leo Brown,Male,4.57,126,31.2,8.4,22.4,48,11.3,8/27/2021,Soccer,Game,Defender,43.71,1031.42,8256.57,1.82,15346.89,66.42,6.01,885.66,322.02,649.26,34.54,5.37,45.88,38.85,38.15,5.06,2.36,20.87,9.33,35
766,Jack Roberts,Male,5.64,168,27.5,9.9,21.1,42,5.4,8/28/2021,Soccer,Game,Defender,144.97,1107.63,4331.29,2.3,3783.68,89.87,1.36,808.94,835.99,207.08,15.53,8.71,17.75,3.13,22.25,33.49,29.42,39.85,12.7,35
767,Jack Garcia,Male,6.02,124,32.1,9.4,21.8,46,6.0,8/30/2021,Soccer,Training,Defender,61.88,539.76,1138.69,3.91,16655.87,65.32,3.07,539.67,835.89,152.72,41.89,36.31,17.43,61.35,26.62,53.64,10.4,27.87,0.75,35
768,Diana Evans,Female,6.25,230,25.8,6.1,11.8,41,10.0,8/31/2021,Soccer,Training,Defender,169.0,563.36,1547.57,9.24,1461.51,73.01,4.27,582.79,324.42,684.76,3.33,34.98,33.7,87.06,56.36,42.02,20.03,21.77,3.47,35
769,Ivy Owens,Female,5.18,196,39.1,8.6,12.1,29,8.1,9/1/2021,Soccer,Training,Defender,171.0,869.16,5398.19,4.69,14401.42,147.45,9.9,486.64,649.42,53.11,46.15,41.05,9.41,49.09,20.09,5.97,38.95,31.72,10.71,35
770,Tina Evans,Female,6.14,124,26.1,7.1,14.3,44,7.8,9/2/2021,Soccer,Training,Defender,108.84,577.75,7949.19,0.68,8665.91,185.06,0.74,269.94,493.55,395.88,42.53,58.46,56.54,65.7,62.22,16.31,3.25,35.34,14.39,35
771,Eve Lopez,Female,4.72,247,31.6,8.2,17.8,32,6.0,9/3/2021,Soccer,Game,Defender,21.41,930.77,6592.79,1.37,15003.44,130.18,3.71,527.51,153.15,34.92,38.73,44.44,21.81,52.6,0.19,9.79,18.77,10.12,4.57,36
772,Ivy Davis,Female,6.19,225,32.9,7.1,21.2,35,8.5,9/5/2021,Soccer,Game,Defender,88.39,802.2,10527.22,0.61,6537.47,82.95,0.71,417.05,780.37,408.96,62.82,49.37,46.8,2.69,30.68,23.19,0.98,6.23,0.07,36
773,Steve Davis,Male,4.75,232,39.8,7.4,22.5,28,5.9,9/7/2021,Soccer,Training,Defender,105.1,1063.36,18.79,5.32,6278.56,123.41,0.55,191.84,317.68,750.16,15.62,44.88,15.4,51.4,58.63,14.98,6.87,29.34,10.38,36
774,Charlie Harris,Male,5.29,108,27.5,9.7,20.6,21,8.3,9/8/2021,Soccer,Training,Defender,99.55,168.14,457.89,8.51,3838.2,173.26,7.83,833.94,940.12,919.8,22.6,27.83,3.22,84.61,43.16,21.02,13.8,30.07,12.1,36
775,Bob Anderson,Male,6.09,215,26.7,6.8,23.9,42,10.3,9/10/2021,Soccer,Training,Defender,111.59,889.21,3675.26,6.21,5520.27,58.57,2.91,627.3,484.92,112.66,5.7,56.82,10.18,78.46,25.21,34.15,3.18,33.43,1.96,37
776,Leo Taylor,Male,4.8,233,25.1,9.5,21.1,24,6.8,9/11/2021,Soccer,Training,Defender,105.15,948.15,9492.48,5.14,4242.42,66.32,2.12,777.23,726.25,930.44,8.59,11.77,29.29,83.6,24.76,31.54,9.39,16.17,8.49,37
777,Oscar Perez,Male,4.96,159,27.3,6.1,14.6,48,8.4,9/12/2021,Soccer,Game,Defender,60.35,649.12,2640.54,4.74,3825.21,60.71,8.31,372.74,609.52,379.12,62.33,27.84,26.25,65.25,59.05,50.7,4.84,39.79,10.32,37
778,Quincy Owens,Male,5.94,220,28.1,6.4,14.0,41,11.9,9/14/2021,Soccer,Training,Defender,116.6,564.52,4983.86,2.8,6451.49,174.69,5.08,124.48,600.08,242.36,5.45,74.47,43.99,46.2,37.57,43.07,23.13,22.88,18.25,37
779,Charlie Nelson,Male,5.94,238,34.5,9.4,20.4,36,9.8,9/15/2021,Soccer,Training,Defender,22.44,178.76,6888.65,0.05,16788.31,171.25,2.26,590.58,257.75,293.18,25.14,58.13,23.2,21.53,61.29,50.6,33.12,35.19,9.05,37
780,Grace Jackson,Female,5.78,207,28.3,8.5,12.9,42,10.9,9/16/2021,Soccer,Training,Defender,48.64,307.81,4403.51,2.35,12319.66,135.89,6.05,838.01,996.02,805.36,40.65,0.56,58.22,9.65,61.27,23.8,22.65,14.77,10.81,37
781,Mona Perez,Female,5.89,207,25.3,9.0,11.4,41,7.9,9/17/2021,Soccer,Game,Defender,66.98,926.58,9350.01,6.92,854.01,92.42,4.73,166.11,896.07,918.65,59.79,66.69,35.59,15.31,6.53,50.39,39.98,28.58,3.44,38
782,Nina Nelson,Female,5.59,230,37.4,6.8,18.0,23,10.4,9/19/2021,Soccer,Game,Defender,75.85,748.32,4538.22,0.05,2347.68,79.1,3.2,253.68,877.5,687.97,30.06,8.61,9.21,52.76,12.22,2.6,26.58,9.29,11.04,38
783,Bob Mitchell,Male,5.0,175,30.5,8.1,22.3,36,5.3,9/21/2021,Soccer,Training,Defender,177.39,684.23,6023.83,4.55,10823.64,85.16,3.45,438.86,310.45,479.28,1.55,64.06,39.56,25.78,47.44,42.33,16.76,30.24,0.03,38
784,Ivy Harris,Female,5.19,129,30.3,8.9,11.5,28,5.9,9/22/2021,Soccer,Training,Defender,15.23,510.86,1.58,6.07,14044.97,134.65,1.06,717.94,301.04,770.49,17.66,58.59,50.0,46.52,24.28,17.65,25.86,22.49,1.18,38
785,Oscar Roberts,Male,4.86,120,29.5,8.5,21.9,39,6.4,9/23/2021,Soccer,Training,Defender,85.57,981.65,2277.46,4.8,9358.67,105.13,2.47,853.4,445.92,2.76,65.55,35.37,57.7,67.19,23.8,48.24,16.88,32.33,7.16,38
786,Alice Owens,Female,6.32,133,39.6,7.9,22.2,21,7.8,9/24/2021,Soccer,Game,Defender,78.68,524.35,10248.32,4.44,17414.73,168.26,2.05,445.18,658.85,735.34,34.18,70.64,28.9,88.06,27.04,7.09,5.1,6.68,4.5,39
787,Jack Brown,Male,5.67,140,27.6,9.8,17.2,43,10.9,9/25/2021,Soccer,Training,Defender,77.99,454.71,5061.03,0.96,12027.2,52.33,9.06,709.12,626.83,809.08,9.41,70.94,58.34,7.47,59.02,6.32,13.14,3.36,13.23,39
788,Ivy Khan,Female,5.3,150,38.5,8.7,10.9,37,7.4,9/26/2021,Soccer,Training,Defender,59.84,540.13,9244.25,8.65,2891.72,161.96,0.76,433.22,638.97,275.98,2.71,58.83,58.46,48.43,16.34,14.62,20.72,9.59,13.61,39
789,Ivy Anderson,Female,5.42,181,36.7,9.6,12.6,40,9.6,9/28/2021,Soccer,Training,Defender,105.1,525.36,1684.07,5.32,14229.64,172.69,0.32,780.81,576.85,611.92,26.18,9.75,47.57,69.31,25.64,63.09,40.01,35.18,3.73,39
790,Grace Mitchell,Female,6.39,157,26.1,8.9,20.6,46,10.0,9/29/2021,Soccer,Training,Defender,142.7,1066.81,6544.7,3.17,8800.4,130.33,8.45,717.76,767.26,500.83,59.96,59.12,32.93,5.26,36.47,38.7,14.41,22.38,9.26,39
791,Rita Harris,Female,4.81,174,39.8,8.9,20.7,41,9.1,9/30/2021,Soccer,Training,Defender,28.61,415.55,1688.53,8.54,1992.32,82.67,4.92,105.68,220.56,457.08,52.84,17.57,52.53,21.63,37.99,63.65,1.51,9.19,18.04,39
792,Leo Harris,Male,5.67,122,29.1,6.3,23.5,30,7.5,10/1/2021,Soccer,Training,Defender,89.58,361.85,7538.36,8.44,1628.66,96.73,8.55,993.5,606.18,255.85,27.39,26.71,29.34,58.85,40.35,38.95,8.14,22.68,11.81,40
793,Frank Roberts,Male,5.51,227,26.5,7.4,18.7,32,9.0,10/3/2021,Soccer,Training,Defender,139.53,439.8,66.31,1.7,14025.71,53.76,4.32,664.73,521.3,459.41,40.2,46.64,12.4,46.02,33.0,16.76,33.06,25.91,1.52,40
794,Grace Garcia,Female,5.72,249,37.4,9.4,11.9,27,7.4,10/5/2021,Soccer,Training,Defender,37.15,948.33,353.35,6.0,17520.48,58.04,1.19,487.17,101.45,379.91,33.31,42.0,32.75,69.93,23.46,60.01,33.45,2.89,13.1,40
795,Paul Mitchell,Male,4.54,116,35.6,6.9,11.8,46,5.6,10/6/2021,Soccer,Training,Defender,137.89,200.05,4281.09,1.68,11764.29,111.27,9.24,836.66,846.91,785.95,15.79,21.29,1.62,50.15,47.12,12.64,4.91,6.68,2.2,40
796,Paul Owens,Male,6.24,168,34.3,6.5,20.8,20,11.9,10/7/2021,Soccer,Training,Defender,58.52,660.74,3108.47,7.71,13067.03,73.36,0.05,209.1,71.16,307.25,64.49,74.34,57.06,71.54,45.48,25.75,19.31,3.74,2.65,40
797,Bob Harris,Male,6.36,207,27.3,7.3,12.8,36,5.9,10/8/2021,Soccer,Game,Defender,69.86,494.7,7780.99,4.09,8643.35,92.21,4.76,212.23,84.39,702.34,0.61,43.63,54.47,64.23,0.77,48.11,35.56,38.24,7.48,41
798,Bob Perez,Male,5.63,238,32.2,6.9,14.9,31,5.5,10/9/2021,Soccer,Training,Defender,70.37,470.97,2640.63,0.36,12606.31,69.37,1.67,850.39,153.22,440.13,59.42,71.22,4.81,78.34,24.3,18.01,17.53,2.86,16.36,41
799,Nina Nelson,Female,5.89,193,36.7,9.7,17.3,23,11.1,10/10/2021,Soccer,Game,Defender,97.02,377.71,6544.41,6.15,6092.94,151.02,8.5,298.97,233.97,398.52,34.59,9.32,13.64,46.16,32.82,32.15,29.87,11.08,1.44,41
